iter	MultiClass	Accuracy
870	0.1590015616	0.9510869565
871	0.1589237483	0.9510869565
872	0.1587810554	0.9510869565
873	0.1587009449	0.9510869565
874	0.1585955611	0.9510869565
875	0.1585158319	0.9516129032
876	0.1584459025	0.9514375877
877	0.1583405173	0.9514375877
878	0.1582354604	0.9517882188
879	0.1581368076	0.9517882188
880	0.1580608274	0.9517882188
881	0.1580228728	0.9516129032
882	0.157902773	0.9517882188
883	0.1578259943	0.9521388499
884	0.1577471588	0.9521388499
885	0.1576936631	0.9521388499
886	0.1575343736	0.9517882188
887	0.1574395839	0.9517882188
888	0.1573338375	0.9523141655
889	0.1571833604	0.9521388499
890	0.1570230047	0.9523141655
891	0.1569097128	0.9524894811
892	0.1567990956	0.9526647966
893	0.1566545486	0.9533660589
894	0.1565472368	0.9528401122
895	0.1564817705	0.9528401122
896	0.156399923	0.9531907433
897	0.156327926	0.9533660589
898	0.1562677618	0.9533660589
899	0.1561651953	0.95371669
900	0.1561007971	0.9535413745
901	0.1559615362	0.9535413745
902	0.1558491109	0.9535413745
903	0.1558170095	0.9535413745
904	0.1557467289	0.9535413745
905	0.1556200659	0.95371669
906	0.1555011783	0.9538920056
907	0.1554402633	0.9540673212
908	0.1553176423	0.9540673212
909	0.1552455819	0.95371669
910	0.1551274836	0.9540673212
911	0.1550656162	0.9542426367
912	0.1549971026	0.9542426367
913	0.1548649543	0.9542426367
914	0.1547383185	0.9544179523
915	0.1546363031	0.9544179523
916	0.1545665887	0.9545932679
917	0.1545212018	0.9547685835
918	0.1544205427	0.9547685835
919	0.154296034	0.9551192146
920	0.1542018843	0.9547685835
921	0.1541406928	0.9547685835
922	0.1540717816	0.9547685835
923	0.1539974409	0.9542426367
924	0.15391743	0.9540673212
925	0.1538371845	0.9538920056
926	0.1537693201	0.9542426367
927	0.1536752381	0.9545932679
928	0.1535982239	0.9547685835
929	0.1535386925	0.9547685835
930	0.1534857747	0.9547685835
931	0.1534479125	0.9545932679
932	0.1533346918	0.9544179523
933	0.1532804475	0.9547685835
934	0.1531532633	0.954943899
935	0.1530936305	0.954943899
936	0.1530325762	0.9552945302
937	0.1529892094	0.9551192146
938	0.1528793661	0.9551192146
939	0.1528084259	0.9552945302
940	0.1526518953	0.9552945302
941	0.1525823266	0.9552945302
942	0.1525196766	0.9552945302
943	0.15247082	0.9554698457
944	0.1524102339	0.9554698457
945	0.1523526772	0.9554698457
946	0.1522520922	0.9558204769
947	0.152136717	0.956171108
948	0.1520120254	0.956171108
949	0.1519200662	0.9563464236
950	0.1518456437	0.9563464236
951	0.1517827562	0.956171108
952	0.1516730775	0.956171108
953	0.1516297377	0.956171108
954	0.1515351984	0.956171108
955	0.1514552805	0.956171108
956	0.1513691381	0.9559957924
957	0.1513289266	0.9559957924
958	0.1512746222	0.9558204769
959	0.1511509341	0.9556451613
960	0.151093504	0.9556451613
961	0.1509890978	0.9554698457
962	0.1508571292	0.9554698457
963	0.1508128064	0.9554698457
964	0.15071746	0.9552945302
965	0.1506705487	0.9552945302
966	0.1506010574	0.9552945302
967	0.1505012547	0.9552945302
968	0.1504104556	0.9551192146
969	0.150238129	0.9554698457
970	0.1501736723	0.9556451613
971	0.1501082318	0.9554698457
972	0.1500496202	0.9554698457
973	0.1499838417	0.9554698457
974	0.1498201398	0.9558204769
975	0.1497119006	0.9559957924
976	0.1496665092	0.9559957924
977	0.1495737126	0.9558204769
978	0.1494487588	0.9556451613
979	0.1493517491	0.9558204769
980	0.1491866735	0.956171108
981	0.1491016208	0.9563464236
982	0.1489897201	0.956171108
983	0.1489384473	0.956171108
984	0.1488332887	0.9563464236
985	0.1487839077	0.956171108
986	0.1486766136	0.956171108
987	0.1485732479	0.9566970547
988	0.1485178468	0.9566970547
989	0.1484451085	0.9570476858
990	0.1483785644	0.9568723703
991	0.1483401337	0.9570476858
992	0.1482890497	0.9570476858
993	0.1481932186	0.9570476858
994	0.14814977	0.9568723703
995	0.1480755282	0.957398317
996	0.1479844947	0.9575736325
997	0.1479131235	0.9575736325
998	0.1478247472	0.9577489481
999	0.1477485427	0.9577489481
