iter	MultiClass	Accuracy
205	0.2715141636	0.8974403927
206	0.2711266022	0.8970897616
207	0.2707907829	0.8976157083
208	0.2705623573	0.8976157083
209	0.2701536935	0.898141655
210	0.2698708447	0.898141655
211	0.269477494	0.898141655
212	0.2690989261	0.8979663394
213	0.2684916199	0.8984922861
214	0.2681292147	0.8986676017
215	0.2678292388	0.8986676017
216	0.2675543541	0.8991935484
217	0.2673070446	0.8995441795
218	0.2669998721	0.8988429173
219	0.2665668309	0.8984922861
220	0.2661016984	0.899368864
221	0.265841308	0.8998948107
222	0.26561104	0.8995441795
223	0.2654068883	0.8998948107
224	0.2648773668	0.9004207574
225	0.2646144452	0.9002454418
226	0.2643555949	0.9000701262
227	0.263886018	0.9004207574
228	0.263620161	0.9012973352
229	0.2631381409	0.902173913
230	0.2628897563	0.9025245442
231	0.2624437827	0.9025245442
232	0.2621979344	0.902173913
233	0.2618172185	0.9028751753
234	0.2614088895	0.9026998597
235	0.261174018	0.9030504909
236	0.2609856677	0.9030504909
237	0.2607579329	0.9026998597
238	0.260427511	0.9028751753
239	0.2601561998	0.9032258065
240	0.2596907603	0.9025245442
241	0.2594155794	0.9028751753
242	0.2589719554	0.9032258065
243	0.2586647167	0.9026998597
244	0.2584862269	0.9026998597
245	0.2582603206	0.9026998597
246	0.2579022846	0.9030504909
247	0.2575120245	0.9037517532
248	0.2570365022	0.9042776999
249	0.2567781132	0.9041023843
250	0.2565094487	0.9035764376
251	0.2560303607	0.9041023843
252	0.2557500241	0.9044530154
253	0.255389124	0.904628331
254	0.2549855659	0.9051542777
255	0.2547030403	0.9051542777
256	0.2543992852	0.9051542777
257	0.254032394	0.9051542777
258	0.2537828213	0.9053295933
259	0.2534492102	0.9056802244
260	0.2532243091	0.9056802244
261	0.2529722411	0.9056802244
262	0.2528453396	0.9056802244
263	0.2524364652	0.90585554
264	0.2521315539	0.90585554
265	0.2517761113	0.90585554
266	0.2513942004	0.9063814867
267	0.2509578716	0.9065568022
268	0.2506497575	0.9062061711
269	0.2504282858	0.9065568022
270	0.2501709615	0.9070827489
271	0.2498845286	0.9070827489
272	0.2494971938	0.9074333801
273	0.2491864453	0.9069074334
274	0.2488794572	0.9069074334
275	0.2485961844	0.9069074334
276	0.248279916	0.9069074334
277	0.2480416703	0.9067321178
278	0.2477089529	0.9069074334
279	0.2474660585	0.9074333801
280	0.2471953041	0.9081346424
281	0.2469404125	0.9079593268
282	0.2467059747	0.9076086957
283	0.2465112879	0.9076086957
284	0.2463100886	0.9072580645
285	0.2461155711	0.9077840112
286	0.2459647495	0.9076086957
287	0.2457716578	0.9074333801
288	0.2454535571	0.9083099579
289	0.2451794853	0.9081346424
290	0.2449436646	0.9077840112
291	0.2447131745	0.9083099579
292	0.2443513752	0.9081346424
293	0.2440004954	0.9090112202
294	0.2437970988	0.9091865358
295	0.2435900189	0.9088359046
296	0.2432851001	0.9086605891
297	0.2429963755	0.9086605891
298	0.2427987489	0.9083099579
299	0.2425707651	0.9091865358
300	0.2422721476	0.9097124825
