iter	Passed	Remaining
251	3587	10649
252	3633	10727
253	3651	10723
254	3667	10716
255	3682	10702
256	3695	10684
257	3708	10665
258	3721	10647
259	3734	10627
260	3746	10608
261	3759	10590
262	3772	10571
263	3785	10553
264	3798	10535
265	3811	10517
266	3824	10500
267	3839	10487
268	3858	10485
269	3882	10496
270	3900	10491
271	3915	10479
272	3933	10474
273	3952	10473
274	3976	10482
275	3992	10474
276	4009	10464
277	4026	10457
278	4044	10451
279	4062	10447
280	4081	10443
281	4104	10449
282	4122	10445
283	4137	10431
284	4151	10415
285	4165	10398
286	4177	10379
287	4191	10362
288	4205	10345
289	4217	10325
290	4230	10307
291	4243	10288
292	4256	10270
293	4269	10252
294	4282	10233
295	4295	10215
296	4308	10197
297	4320	10178
298	4333	10160
299	4346	10142
300	4359	10123
301	4372	10105
302	4385	10087
303	4397	10068
304	4411	10051
305	4423	10032
306	4436	10014
307	4449	9996
308	4461	9977
309	4474	9960
310	4488	9943
311	4501	9926
312	4514	9908
313	4527	9890
314	4539	9872
315	4552	9854
316	4565	9836
317	4578	9819
318	4591	9801
319	4604	9783
320	4616	9765
321	4629	9747
322	4642	9730
323	4655	9712
324	4667	9694
325	4680	9677
326	4693	9659
327	4706	9642
328	4719	9624
329	4731	9606
330	4744	9589
331	4757	9571
332	4769	9554
333	4782	9536
334	4795	9519
335	4808	9502
336	4821	9486
337	4838	9476
338	4851	9459
339	4864	9442
340	4877	9425
341	4890	9408
342	4903	9392
343	4916	9375
344	4929	9358
345	4942	9342
346	4955	9325
347	4968	9308
348	4981	9291
349	4993	9274
350	5006	9257
351	5019	9241
352	5032	9224
353	5045	9207
354	5058	9191
355	5071	9174
356	5085	9158
357	5097	9141
358	5110	9124
359	5122	9107
360	5135	9091
361	5149	9074
362	5162	9058
363	5174	9041
364	5187	9025
365	5200	9009
366	5213	8992
367	5226	8975
368	5239	8959
369	5252	8943
370	5265	8926
371	5278	8910
372	5291	8894
373	5304	8878
374	5316	8861
375	5329	8845
376	5342	8828
377	5355	8812
378	5368	8795
379	5381	8779
380	5393	8763
381	5406	8747
382	5419	8730
383	5432	8714
384	5445	8698
385	5457	8681
386	5470	8665
387	5483	8648
388	5495	8632
389	5508	8616
390	5521	8600
391	5534	8584
392	5547	8567
393	5560	8551
394	5572	8535
395	5586	8520
396	5599	8504
397	5612	8488
398	5625	8472
399	5638	8457
400	5651	8441
401	5663	8425
402	5676	8409
403	5689	8393
404	5702	8377
405	5715	8361
406	5728	8346
407	5741	8330
408	5753	8314
409	5766	8298
410	5779	8282
411	5792	8266
412	5805	8250
413	5817	8234
414	5830	8219
415	5843	8203
416	5856	8187
417	5869	8171
418	5881	8156
419	5894	8140
420	5907	8124
421	5920	8109
422	5933	8094
423	5947	8080
424	5961	8064
425	5973	8049
426	5986	8033
427	5999	8017
428	6012	8002
429	6025	7986
430	6037	7971
431	6050	7955
432	6063	7940
433	6076	7924
434	6089	7908
435	6101	7892
436	6114	7877
437	6128	7862
438	6140	7847
439	6154	7832
440	6167	7818
441	6182	7805
442	6195	7790
443	6208	7775
444	6222	7760
445	6234	7744
446	6248	7729
447	6262	7716
448	6276	7702
449	6289	7687
450	6302	7671
451	6315	7656
452	6328	7641
453	6341	7626
454	6354	7610
455	6366	7595
456	6379	7580
457	6392	7565
458	6405	7549
459	6418	7534
460	6430	7519
461	6444	7504
462	6456	7488
463	6469	7473
464	6482	7458
465	6495	7443
466	6508	7428
467	6520	7412
468	6533	7397
469	6546	7382
470	6559	7366
471	6572	7351
472	6584	7336
473	6597	7321
474	6610	7306
475	6623	7291
476	6636	7276
477	6648	7260
478	6661	7245
479	6674	7230
480	6687	7215
481	6700	7200
482	6713	7185
483	6726	7170
484	6739	7155
485	6752	7141
486	6764	7125
487	6777	7110
488	6790	7095
489	6803	7080
490	6816	7066
491	6830	7052
492	6843	7037
493	6857	7023
494	6872	7011
495	6886	6997
496	6898	6982
497	6911	6967
498	6925	6952
499	6938	6938
500	6951	6923
501	6964	6908
502	6977	6893
503	7005	6894
504	7018	6879
505	7031	6864
506	7044	6850
507	7057	6835
508	7071	6820
509	7093	6814
510	7107	6801
511	7121	6787
512	7134	6773
513	7147	6758
514	7162	6745
515	7175	6730
516	7189	6716
517	7204	6703
518	7219	6690
519	7233	6677
520	7248	6663
521	7262	6650
522	7277	6637
523	7296	6627
524	7311	6614
525	7324	6600
526	7337	6585
527	7350	6570
528	7362	6555
529	7377	6542
530	7392	6529
531	7404	6514
532	7417	6499
533	7430	6484
534	7444	6470
535	7457	6455
536	7470	6440
537	7483	6426
538	7496	6411
539	7509	6397
540	7522	6382
541	7534	6367
542	7547	6352
543	7560	6337
544	7573	6322
545	7586	6308
546	7599	6293
547	7612	6278
548	7625	6263
549	7638	6249
550	7651	6234
551	7663	6219
552	7676	6205
553	7690	6190
554	7703	6176
555	7716	6162
556	7729	6147
557	7742	6132
558	7755	6118
559	7767	6103
560	7780	6088
561	7793	6074
562	7806	6059
563	7819	6044
564	7832	6030
565	7844	6015
566	7857	6000
567	7870	5986
568	7883	5971
569	7896	5956
570	7909	5942
571	7925	5930
572	7938	5915
573	7950	5900
574	7963	5886
575	7976	5871
576	7989	5857
577	8002	5842
578	8015	5828
579	8028	5813
580	8041	5799
581	8055	5785
582	8068	5770
583	8080	5755
584	8094	5741
585	8106	5727
586	8119	5712
587	8132	5698
588	8145	5683
589	8158	5669
590	8171	5654
591	8184	5640
592	8197	5626
593	8210	5611
594	8222	5596
595	8235	5582
596	8248	5568
597	8261	5553
598	8274	5539
599	8287	5525
600	8300	5510
601	8313	5496
602	8326	5481
603	8338	5467
604	8351	5452
605	8364	5438
606	8377	5424
607	8390	5409
608	8403	5395
609	8416	5381
610	8429	5366
611	8442	5352
612	8455	5337
613	8467	5323
614	8480	5309
615	8493	5294
616	8506	5280
617	8519	5265
618	8531	5251
619	8544	5237
620	8557	5222
621	8570	5208
622	8583	5194
623	8596	5180
624	8609	5165
625	8622	5151
626	8635	5137
627	8647	5122
628	8660	5108
629	8673	5094
630	8686	5079
631	8699	5065
632	8712	5051
633	8725	5036
634	8737	5022
635	8750	5008
636	8763	4994
637	8776	4979
638	8789	4965
639	8803	4951
640	8816	4937
641	8829	4923
642	8842	4909
643	8867	4901
644	8882	4888
645	8895	4874
646	8907	4860
647	8920	4845
648	8933	4831
649	8946	4817
650	8959	4803
651	8971	4788
652	8984	4774
653	8997	4760
654	9010	4745
655	9023	4731
656	9036	4717
657	9048	4703
658	9061	4688
659	9074	4674
660	9087	4660
661	9111	4652
662	9124	4638
663	9137	4623
664	9150	4609
665	9163	4595
666	9176	4581
667	9189	4567
668	9202	4552
669	9215	4538
670	9228	4524
671	9241	4510
672	9254	4496
673	9268	4483
674	9281	4468
675	9294	4454
676	9308	4441
677	9321	4426
678	9334	4412
679	9346	4398
680	9359	4384
681	9372	4370
682	9385	4356
683	9398	4341
684	9411	4327
685	9424	4313
686	9437	4299
687	9450	4285
688	9462	4271
689	9475	4257
690	9488	4243
691	9501	4228
692	9514	4214
693	9527	4200
694	9539	4186
695	9552	4172
696	9565	4158
697	9578	4144
698	9590	4130
699	9605	4116
700	9618	4102
701	9631	4088
702	9644	4074
703	9656	4060
704	9669	4046
705	9682	4032
706	9695	4018
707	9708	4004
708	9721	3989
709	9734	3975
710	9746	3961
711	9759	3947
712	9772	3933
713	9785	3919
714	9797	3905
715	9810	3891
716	9823	3877
717	9836	3863
718	9849	3849
719	9862	3835
720	9875	3821
721	9888	3807
722	9901	3793
723	9915	3780
724	9928	3766
725	9941	3752
726	9954	3737
727	9966	3723
728	9979	3709
729	9992	3695
730	10004	3681
731	10017	3667
732	10030	3653
733	10043	3639
734	10056	3625
735	10069	3611
736	10081	3597
737	10094	3583
738	10107	3569
739	10120	3555
740	10133	3541
741	10146	3528
742	10159	3514
743	10172	3500
744	10185	3486
745	10198	3472
746	10210	3458
747	10223	3444
748	10236	3430
749	10249	3416
750	10262	3402
751	10275	3388
752	10287	3374
753	10300	3360
754	10313	3346
755	10326	3332
756	10339	3319
757	10353	3305
758	10365	3291
759	10378	3277
760	10391	3263
761	10404	3249
762	10417	3235
763	10430	3221
764	10443	3208
765	10456	3194
766	10469	3180
767	10481	3166
768	10495	3152
769	10507	3138
770	10520	3124
771	10533	3110
772	10546	3097
773	10559	3083
774	10572	3069
775	10585	3055
776	10598	3041
777	10611	3028
778	10624	3014
779	10637	3000
780	10650	2986
781	10663	2972
782	10675	2958
783	10688	2944
784	10701	2930
785	10714	2917
786	10727	2903
787	10740	2889
788	10754	2876
789	10767	2862
790	10780	2848
791	10793	2834
792	10806	2820
793	10819	2807
794	10832	2793
795	10845	2779
796	10858	2765
797	10871	2751
798	10883	2738
799	10896	2724
800	10909	2710
801	10922	2696
802	10935	2682
803	10948	2669
804	10961	2655
805	10974	2641
806	10987	2627
807	10999	2613
808	11012	2600
809	11026	2586
810	11038	2572
811	11051	2558
812	11065	2545
813	11077	2531
814	11090	2517
815	11103	2503
816	11117	2490
817	11129	2476
818	11142	2462
819	11155	2448
820	11168	2435
821	11181	2421
822	11194	2407
823	11207	2393
824	11220	2380
825	11233	2366
826	11246	2352
827	11258	2338
828	11271	2325
829	11284	2311
830	11297	2297
831	11310	2283
832	11323	2270
833	11335	2256
834	11348	2242
835	11361	2228
836	11374	2215
837	11386	2201
838	11399	2187
839	11412	2173
840	11425	2160
841	11438	2146
842	11451	2132
843	11464	2118
844	11477	2105
845	11490	2091
846	11503	2077
847	11515	2064
848	11528	2050
849	11541	2036
850	11555	2023
851	11568	2009
852	11584	1996
853	11596	1982
854	11609	1968
855	11622	1955
856	11635	1941
857	11662	1930
858	11676	1916
859	11690	1903
860	11703	1889
861	11716	1875
862	11729	1862
863	11742	1848
864	11756	1834
865	11768	1821
866	11781	1807
867	11794	1793
868	11807	1779
869	11832	1768
870	11845	1754
871	11858	1740
872	11871	1726
873	11886	1713
874	11899	1699
875	11911	1686
876	11924	1672
877	11937	1658
878	11950	1645
879	11963	1631
880	11975	1617
881	11988	1603
882	12002	1590
883	12015	1576
884	12027	1562
885	12040	1549
886	12053	1535
887	12066	1521
888	12079	1508
889	12092	1494
890	12105	1480
891	12117	1467
892	12130	1453
893	12143	1439
894	12155	1426
895	12168	1412
896	12181	1398
897	12194	1385
898	12207	1371
899	12220	1357
900	12232	1344
901	12245	1330
902	12258	1316
903	12271	1303
904	12284	1289
905	12296	1275
906	12310	1262
907	12322	1248
908	12336	1234
909	12349	1221
910	12362	1207
911	12374	1194
912	12387	1180
913	12401	1166
914	12414	1153
915	12427	1139
916	12440	1125
917	12453	1112
918	12466	1098
919	12479	1085
920	12492	1071
921	12504	1057
922	12517	1044
923	12530	1030
924	12543	1017
925	12556	1003
926	12568	989
927	12581	976
928	12594	962
929	12607	948
930	12619	935
931	12632	921
932	12645	908
933	12658	894
934	12671	880
935	12684	867
936	12697	853
937	12710	840
938	12723	826
939	12736	812
940	12750	799
941	12763	785
942	12776	772
943	12788	758
944	12801	745
945	12814	731
946	12826	717
947	12839	704
948	12852	690
949	12865	677
950	12878	663
951	12892	650
952	12905	636
953	12917	622
954	12930	609
955	12943	595
956	12956	582
957	12969	568
958	12982	555
959	12995	541
960	13008	527
961	13021	514
962	13034	500
963	13047	487
964	13059	473
965	13071	460
966	13084	446
967	13097	432
968	13109	419
969	13122	405
970	13135	392
971	13148	378
972	13162	365
973	13174	351
974	13187	338
975	13200	324
976	13214	311
977	13226	297
978	13239	283
979	13252	270
980	13265	256
981	13277	243
982	13290	229
983	13303	216
984	13316	202
985	13329	189
986	13342	175
987	13355	162
988	13368	148
989	13380	135
990	13393	121
991	13406	108
992	13419	94
993	13432	81
994	13445	67
995	13458	54
996	13470	40
997	13485	27
998	13498	13
999	13511	0
